sample,class,truth_label
D15_SA22_R05.csv,1,0
D18_SA22_R01.csv,1,0
D18_SA22_R02.csv,1,0
D18_SA22_R03.csv,0,0
D18_SA22_R04.csv,1,0
D18_SA22_R05.csv,1,0
D19_SA22_R01.csv,1,0
D19_SA22_R02.csv,1,0
D19_SA22_R03.csv,1,0
D19_SA22_R04.csv,1,0
D19_SA22_R05.csv,1,0
F01_SA22_R01.csv,1,1
F01_SA22_R02.csv,1,1
F01_SA22_R03.csv,1,1
F01_SA22_R04.csv,1,1
F01_SA22_R05.csv,1,1
F02_SA22_R01.csv,1,1
F02_SA22_R02.csv,1,1
F02_SA22_R03.csv,1,1
F02_SA22_R04.csv,1,1
F02_SA22_R05.csv,1,1
F03_SA22_R01.csv,1,1
F03_SA22_R02.csv,1,1
F03_SA22_R03.csv,1,1
F03_SA22_R04.csv,1,1
F03_SA22_R05.csv,1,1
F04_SA22_R01.csv,1,1
F04_SA22_R02.csv,1,1
F04_SA22_R03.csv,1,1
F04_SA22_R04.csv,1,1
F04_SA22_R05.csv,1,1
F05_SA22_R01.csv,1,1
F05_SA22_R02.csv,1,1
F05_SA22_R03.csv,1,1
F05_SA22_R04.csv,1,1
F05_SA22_R05.csv,1,1
F06_SA22_R01.csv,1,1
F06_SA22_R02.csv,1,1
F06_SA22_R03.csv,1,1
F06_SA22_R04.csv,1,1
F06_SA22_R05.csv,1,1
F08_SA22_R01.csv,1,1
F08_SA22_R02.csv,1,1
F08_SA22_R03.csv,1,1
F08_SA22_R04.csv,1,1
F08_SA22_R05.csv,1,1
F09_SA22_R01.csv,1,1
F09_SA22_R02.csv,1,1
F09_SA22_R03.csv,1,1
F09_SA22_R04.csv,1,1
F09_SA22_R05.csv,1,1
F10_SA22_R01.csv,1,1
F10_SA22_R02.csv,1,1
F10_SA22_R03.csv,1,1
F10_SA22_R04.csv,1,1
F10_SA22_R05.csv,1,1
F11_SA22_R01.csv,1,1
F11_SA22_R02.csv,1,1
F11_SA22_R03.csv,1,1
F11_SA22_R04.csv,1,1
F11_SA22_R05.csv,1,1
F12_SA22_R01.csv,1,1
F12_SA22_R02.csv,1,1
F12_SA22_R03.csv,1,1
F12_SA22_R04.csv,1,1
F12_SA22_R05.csv,1,1
F13_SA22_R01.csv,1,1
F13_SA22_R02.csv,1,1
F13_SA22_R03.csv,1,1
F13_SA22_R04.csv,1,1
F13_SA22_R05.csv,1,1
F14_SA22_R01.csv,1,1
F14_SA22_R02.csv,1,1
F14_SA22_R03.csv,1,1
F14_SA22_R04.csv,1,1
F14_SA22_R05.csv,1,1
F15_SA22_R01.csv,1,1
F15_SA22_R02.csv,1,1
F15_SA22_R03.csv,1,1
F15_SA22_R04.csv,1,1
F15_SA22_R05.csv,1,1
D01_SA23_R01.csv,1,0
D02_SA23_R01.csv,1,0
D03_SA23_R01.csv,0,0
D04_SA23_R01.csv,0,0
D14_SA23_R01.csv,1,0
D14_SA23_R02.csv,1,0
D14_SA23_R03.csv,1,0
D14_SA23_R04.csv,1,0
D14_SA23_R05.csv,1,0
D15_SA23_R01.csv,1,0
D15_SA23_R02.csv,1,0
D15_SA23_R03.csv,1,0
D15_SA23_R04.csv,1,0
D15_SA23_R05.csv,1,0
D18_SA23_R01.csv,1,0
D18_SA23_R02.csv,1,0
D18_SA23_R03.csv,1,0
D18_SA23_R04.csv,1,0
D18_SA23_R05.csv,0,0
D19_SA23_R01.csv,1,0
D19_SA23_R02.csv,1,0
D19_SA23_R03.csv,1,0
D19_SA23_R04.csv,1,0
D19_SA23_R05.csv,1,0
F01_SA23_R01.csv,1,1
F01_SA23_R02.csv,1,1
F01_SA23_R03.csv,1,1
F01_SA23_R04.csv,1,1
F01_SA23_R05.csv,1,1
F02_SA23_R01.csv,1,1
F02_SA23_R02.csv,1,1
F02_SA23_R03.csv,1,1
F02_SA23_R04.csv,1,1
F02_SA23_R05.csv,1,1
F03_SA23_R01.csv,1,1
F03_SA23_R02.csv,1,1
F03_SA23_R03.csv,1,1
F03_SA23_R04.csv,1,1
F03_SA23_R05.csv,1,1
F04_SA23_R01.csv,1,1
F04_SA23_R02.csv,1,1
F04_SA23_R03.csv,1,1
F04_SA23_R04.csv,1,1
F04_SA23_R05.csv,1,1
F05_SA23_R01.csv,1,1
F05_SA23_R02.csv,1,1
F05_SA23_R03.csv,1,1
F05_SA23_R04.csv,1,1
F05_SA23_R05.csv,1,1
F06_SA23_R01.csv,1,1
F06_SA23_R02.csv,1,1
F06_SA23_R03.csv,1,1
F06_SA23_R04.csv,1,1
F06_SA23_R05.csv,1,1
F08_SA23_R01.csv,1,1
F08_SA23_R02.csv,1,1
F08_SA23_R03.csv,1,1
F08_SA23_R04.csv,1,1
F08_SA23_R05.csv,1,1
F09_SA23_R01.csv,1,1
F09_SA23_R02.csv,1,1
F09_SA23_R03.csv,1,1
F09_SA23_R04.csv,1,1
F09_SA23_R05.csv,1,1
F10_SA23_R01.csv,1,1
F10_SA23_R02.csv,1,1
F10_SA23_R03.csv,1,1
F10_SA23_R04.csv,1,1
F10_SA23_R05.csv,1,1
F11_SA23_R01.csv,1,1
F11_SA23_R02.csv,1,1
F11_SA23_R03.csv,1,1
F11_SA23_R04.csv,1,1
F11_SA23_R05.csv,1,1
F12_SA23_R01.csv,1,1
F12_SA23_R02.csv,1,1
F12_SA23_R03.csv,1,1
F12_SA23_R04.csv,1,1
F12_SA23_R05.csv,1,1
F13_SA23_R01.csv,1,1
F13_SA23_R02.csv,1,1
F13_SA23_R03.csv,1,1
F13_SA23_R04.csv,1,1
F13_SA23_R05.csv,1,1
F14_SA23_R01.csv,1,1
F14_SA23_R02.csv,1,1
F14_SA23_R03.csv,1,1
F14_SA23_R04.csv,1,1
F14_SA23_R05.csv,1,1
F15_SA23_R01.csv,1,1
F15_SA23_R02.csv,1,1
F15_SA23_R03.csv,1,1
F15_SA23_R04.csv,1,1
F15_SA23_R05.csv,1,1
